#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
Z3|A050A||BHE|44.4818|16.5313|934.0|0.9|90.0|0.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||BHE|44.4818|16.5313|934.0|0.9|90.0|0.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||BHN|44.4818|16.5313|934.0|0.9|0.0|0.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||BHN|44.4818|16.5313|934.0|0.9|0.0|0.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||BHZ|44.4818|16.5313|934.0|0.9|0.0|-90.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||BHZ|44.4818|16.5313|934.0|0.9|0.0|-90.0|STS2_gen2|599998200.0|1.0|M/S|50.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||HHE|44.4818|16.5313|934.0|0.9|90.0|0.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||HHE|44.4818|16.5313|934.0|0.9|90.0|0.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||HHN|44.4818|16.5313|934.0|0.9|0.0|0.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||HHN|44.4818|16.5313|934.0|0.9|0.0|0.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||HHZ|44.4818|16.5313|934.0|0.9|0.0|-90.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2015-11-25T15:30:00|2016-11-01T15:00:00
Z3|A050A||HHZ|44.4818|16.5313|934.0|0.9|0.0|-90.0|STS2_gen2|599998200.0|1.0|M/S|100.0|2016-11-01T15:00:00|2019-09-11T09:25:00
Z3|A050A||LHE|44.4818|16.5313|934.0|0.9|90.0|0.0|STS2_gen2|599998200.0|0.2|M/S|1.0|2015-11-25T15:30:00|2016-11-01T15:00:00
