network,station,Lat,Lon,Elev,Com
SL,BOJS,45.5043,15.2518,0,YYY
SL,CADS,46.2281,13.7368,0,YYY
SL,CEY,45.7381,14.4221,0,YYY
SL,CRES,45.826,15.4569,0,YYY
SL,CRNS,46.0807,14.2613,0,YYY
SL,DOBS,46.1495,15.4695,0,YYY
SL,GBAS,45.9348,14.4434,0,YYY
SL,GBRS,45.5311,14.8101,0,YYY
SL,GCIS,45.8672,15.6275,0,YYY
SL,GOLS,46.0108,15.6245,0,YYY
SL,GORS,46.3174,13.9999,0,YYY
SL,GROS,46.461,15.5018,0,YYY
SL,JAVS,45.8934,14.0643,0,YYY
SL,KNDS,45.5278,14.3807,0,YYY
SL,KOGS,46.4481,16.2504,0,YYY
SL,LEGS,45.9488,15.3177,0,YYY
SL,LJU,46.0438,14.5278,0,YYY
SL,MOZS,46.2941,14.4433,0,YYY
SL,PDKS,46.0612,14.9977,0,YYY
SL,PERS,46.6365,15.1139,0,YYY
SL,ROBS,46.2445,13.5094,0,YYY
SL,SKDS,45.5464,14.0143,0,YYY
SL,VISS,45.8033,14.8393,0,YYY
SL,VNDS,46.1016,14.7014,0,YYY
SL,VOJS,46.0322,13.8877,0,YYY
SL,ZAVS,46.4342,15.0246,0,YYY
