network,station,Lat,Lon,Elev,Com
XT,AAE55,45.7552,13.4208,0,YYYY
XT,AAE54,45.8418,13.2583,0,YYYY
XT,AAE53,45.9254,13.402,0,YYYY
XT,AAE52,46.0135,13.2945,0,YYYY
XT,AAE51,46.1293,13.432,0,YYYY
XT,AAE50,46.2022,13.2658,0,YYYY
XT,AAE49,46.3068,13.4008,0,YYYY
XT,AAE48,46.3796,13.2698,0,YYYY
XT,AAE47,46.4627,13.4377,0,YYYY
XT,AAE46,46.5641,13.2538,0,YYYY
XT,AAE45,46.6339,13.4147,0,YYYY
XT,AAE44,46.7332,13.2491,0,YYYY
XT,AAE43,46.8405,13.4378,0,YYYY
XT,AAE42,46.9086,13.27,0,YYYY
XT,AAE41,47.0095,13.4352,0,YYYY
XT,AAE40,47.1044,13.2134,0,YYYY
XT,AAE39,47.1861,13.4182,0,YYYY
XT,AAE38,47.2731,13.2526,0,YYYY
XT,AAE37,47.3677,13.4373,0,YYYY
XT,AAE36,47.454,13.2485,0,YYYY
XT,AAE35,47.5485,13.426,0,YYYY
XT,AAE34,47.636,13.2614,0,YYYY
XT,AAE33,47.7278,13.4307,0,YYYY
XT,AAE32,47.8188,13.2733,0,YYYY
XT,AAE31,47.913,13.4361,0,YYYY
XT,AAE30,48.0001,13.2644,0,YYYY
XT,AAE29,48.09,13.4478,0,YYYY
XT,AAE28,48.1861,13.2633,0,YYYY
XT,AAE27,48.2803,13.4336,0,YYYY
XT,AAE26,48.3569,13.2877,0,YYYY
XT,AAE25,48.4669,13.4076,0,YYYY
XT,AAE24,48.5309,13.2741,0,YYYY
XT,AAE23,48.6418,13.4277,0,YYYY
XT,AAE22,48.719,13.2616,0,YYYY
XT,AAE21,48.8036,13.4192,0,YYYY
XT,AAE20,48.8896,13.2981,0,YYYY
XT,AAE19,48.9712,13.4825,0,YYYY
XT,AAE18,49.0982,13.2165,0,YYYY
XT,AAE17,49.1554,13.4379,0,YYYY
XT,AAE16,49.2642,13.2193,0,YYYY
XT,AAE15,49.3648,13.4141,0,YYYY
XT,AAE14,49.4427,13.2495,0,YYYY
XT,AAE13,49.5289,13.4547,0,YYYY
XT,AAE12,49.6045,13.2629,0,YYYY
XT,AAE11,49.703,13.4692,0,YYYY
XT,AAE10,49.7998,13.2509,0,YYYY
XT,AAE09,49.889,13.4135,0,YYYY
XT,AAE08,49.991,13.2322,0,YYYY
XT,AAE07,50.0733,13.4219,0,YYYY
XT,AAE06,50.1747,13.252,0,YYYY
XT,AAE05,50.2522,13.3696,0,YYYY
XT,AAE04,50.3545,13.2588,0,YYYY
XT,AAE03,50.4306,13.43,0,YYYY
XT,AAE02,50.5107,13.2526,0,YYYY
XT,AAE01,50.6075,13.432,0,YYYY
