network,station,Lat,Lon,Elev,Com
Z3,A401A,42.6473,5.0203,0,YYY
Z3,A402A,42.8793,5.3005,0,YYY
Z3,A404A,42.1782,5.0193,0,YYY
Z3,A405A,42.4116,5.3036,0,YYY
Z3,A406A,42.618,5.5885,0,YYY
Z3,A408A,43.1134,6.9637,0,YYY
Z3,A409A,43.3482,7.5167,0,YYY
Z3,A410A,43.5882,8.0753,0,YYY
Z3,A411A,43.7004,8.6512,0,YYY
Z3,A412A,41.6476,4.7448,0,YYY
Z3,A413A,41.943,5.3035,0,YYY
Z3,A414A,42.1783,5.8583,0,YYY
Z3,A415A,42.4119,6.4109,0,YYY
Z3,A416A,42.6467,6.9634,0,YYY
Z3,A417A,42.8796,7.5178,0,YYY
Z3,A418A,42.9999,8.0709,0,YYY
Z3,A419A,43.2904,8.6009,0,YYY
Z3,A420A,43.4537,9.1949,0,YYY
Z3,A421A,41.7153,5.8499,0,YYY
Z3,A422A,41.9434,6.4101,0,YYY
Z3,A423A,42.1784,6.964050,0,YYY
Z3,A424A,42.4111,7.5153,0,YYY
Z3,A425A,42.6471,8.0703,0,YYY
Z3,A426A,42.8801,8.6215,0,YYY
Z3,A427A,43.119,9.1947,0,YYY
Z3,A428A,41.7102,6.9639,0,YYY
Z3,A429A,41.9434,7.5167,0,YYY
Z3,A430A,42.1779,7.9809,0,YYY
Z3,A431A,41.7096,7.9805,0,YYY
Z3,A434A,43.8503,9.2299,0,YYY
